order_id,product_id,quantity
O0000015747,10,4
O0000018290,24,2
O0000013287,3,2
O0000006793,20,1
O0000035410,5,1
O0000001352,4,2
O0000041648,6,5
O0000017942,19,3
O0000019213,2,5
O0000000846,13,2
O0000038331,11,3
O0000006410,20,5
O0000034889,24,2
O0000004768,20,3
O0000039130,23,4
O0000026695,13,3
O0000034814,22,3
O0000000763,2,1
O0000035937,23,4
O0000006660,11,1
O0000001979,22,3
O0000021003,18,1
O0000017894,1,3
O0000036626,12,1
O0000019847,7,2
O0000037441,7,3
O0000031601,4,4
O0000036988,20,4
O0000030224,2,3
O0000000052,19,5
O0000000902,3,1
O0000021331,7,5
O0000001213,17,5
O0000005064,23,3
O0000011935,2,4
O0000034826,2,4
O0000019572,13,1
O0000018861,15,3
O0000029488,15,2
O0000042549,3,3
O0000041178,8,1
O0000038238,21,3
O0000021521,18,5
O0000019694,9,2
O0000013337,15,4
O0000025319,20,4
O0000038755,18,5
O0000014451,3,5
O0000034901,6,3
O0000012246,15,1
O0000012650,24,1
O0000014412,20,1
O0000026541,3,4
O0000036871,24,3
O0000016100,4,3
O0000010871,17,3
O0000006569,5,1
O0000020958,15,4
O0000031646,24,1
O0000000221,1,2
O0000015087,7,4
O0000041155,20,4
O0000036414,9,2
O0000041410,16,4
O0000004339,17,1
O0000000964,1,5
O0000001514,8,1
O0000010502,24,3
O0000038094,10,3
O0000024412,24,3
O0000001416,6,1
O0000018983,10,5
O0000023237,4,5
O0000039471,15,4
O0000013817,9,4
O0000014606,10,2
O0000014548,11,1
O0000023013,9,2
O0000043124,14,1
O0000011334,17,5
O0000010479,18,4
O0000016644,20,5
O0000024704,20,4
O0000036985,5,1
O0000004141,19,2
O0000000981,11,1
O0000014048,24,5
O0000016579,1,1
O0000010700,7,1
O0000023935,20,3
O0000026358,1,2
O0000026460,13,5
O0000002083,9,2
O0000014859,23,5
O0000027129,5,2
O0000031152,10,1
O0000013338,23,4
O0000007841,13,4
O0000001696,14,3
O0000005516,2,5
O0000020599,1,3
O0000013373,4,4
O0000035176,20,5
O0000037308,12,3
O0000019788,9,2
O0000026754,4,5
O0000022284,21,4
O0000004827,23,2
O0000002809,8,4
O0000008744,23,2
O0000024674,3,1
O0000033856,12,3
O0000003756,9,2
O0000001966,12,3
O0000030663,14,2
O0000002080,20,1
O0000025503,13,5
O0000024471,18,2
O0000014716,15,1
O0000036676,8,1
O0000037340,7,4
O0000020023,22,3
O0000033205,8,2
O0000025116,10,3
O0000019354,2,2
O0000039399,22,5
O0000001286,19,5
O0000024270,23,3
O0000030130,13,2
O0000021004,7,1
O0000020713,8,5
O0000031315,7,4
O0000028524,23,5
O0000011816,20,5
O0000031718,4,3
O0000029090,10,3
O0000002893,5,2
O0000033084,8,5
O0000035652,5,1
O0000004822,11,1
O0000013201,18,1
O0000033479,12,4
O0000028198,14,5
O0000042798,18,3
O0000018864,6,1
O0000006572,7,2
O0000031467,11,1
O0000038179,13,5
O0000013731,9,1
O0000002020,15,4
O0000004182,17,1
O0000033503,2,3
O0000019391,4,5
O0000021518,23,3
O0000040680,13,2
O0000005839,10,1
O0000029423,13,2
O0000042566,4,3
O0000030785,23,3
O0000018305,13,4
O0000026736,19,3
O0000022527,19,4
O0000006673,16,4
O0000030594,4,4
O0000007664,17,2
O0000027746,24,1
O0000015659,16,1
O0000035809,5,5
O0000033104,5,3
O0000015524,7,3
O0000034161,7,1
O0000039219,9,5
O0000027320,20,5
O0000039342,22,5
O0000022194,4,2
O0000028131,6,4
O0000035513,16,2
O0000035902,12,3
O0000030266,22,2
O0000039921,22,2
O0000039763,15,4
O0000028231,20,3
O0000003915,13,5
O0000017789,1,3
O0000037164,24,5
O0000017663,5,4
O0000012053,6,2
O0000025256,11,5
O0000002008,6,3
O0000015187,3,2
O0000022231,18,4
O0000025106,17,4
O0000026714,3,1
O0000034131,7,1
O0000038880,6,1
O0000020454,5,1
O0000027112,23,2
O0000018302,17,5
O0000042311,9,3
O0000026435,6,2
O0000004507,20,1
O0000019674,1,5
O0000042005,12,2
O0000000413,19,2
O0000009201,3,5
O0000017694,16,3
O0000028491,9,4
O0000003208,20,1
O0000013847,3,1
O0000035176,17,3
O0000005541,24,3
O0000020067,8,1
O0000029261,18,4
O0000014537,21,5
O0000036911,17,1
O0000041554,15,4
O0000022029,11,4
O0000016988,9,1
O0000023205,2,1
O0000002273,7,3
O0000019346,13,5
O0000026620,9,2
O0000031535,5,5
O0000039679,23,3
O0000019466,20,1
O0000011216,22,1
O0000013354,15,1
O0000030398,22,2
O0000019907,22,5
O0000039993,9,4
O0000022039,5,4
O0000006717,17,5
O0000001947,14,1
O0000013424,5,2
O0000013601,13,1
O0000018548,15,1
O0000008938,9,2
O0000001023,4,3
O0000004070,14,5
O0000042906,24,4
O0000004035,12,1
O0000023498,15,2
O0000012333,10,4
O0000029599,17,4
O0000011262,11,2
O0000029611,3,2
O0000006482,3,1
O0000024142,11,5
O0000030187,12,1
O0000042482,14,2
O0000026215,20,4
O0000005956,22,3
O0000008424,15,5
O0000010798,2,2
O0000017885,24,2
O0000024499,18,4
O0000021089,21,4
O0000022043,17,3
O0000036026,12,5
O0000031676,5,3
O0000002821,6,5
O0000027234,12,1
O0000041310,23,5
O0000026273,10,1
O0000016199,8,2
O0000038873,23,1
O0000041916,6,3
O0000029145,12,3
O0000042748,16,4
O0000021160,4,1
O0000034343,22,2
O0000040560,16,4
O0000021704,19,4
O0000035715,13,2
O0000021342,1,2
O0000019649,21,2
O0000016802,17,4
O0000013271,13,1
O0000032648,9,3
O0000012350,2,5
O0000030984,10,2
O0000016077,2,1
O0000039071,1,5
O0000027982,19,1
O0000026615,16,1
O0000026289,10,5
O0000031902,17,2
O0000026449,9,3
O0000037698,1,3
O0000020062,9,3
O0000020111,5,4
O0000013667,4,4
O0000001027,11,2
O0000018822,6,5
O0000016982,4,2
O0000013581,2,3
O0000026209,21,1
O0000023612,16,5
O0000026137,7,5
O0000041240,13,1
O0000029091,12,1
O0000001960,12,3
O0000019203,9,1
O0000037134,7,2
O0000038503,16,1
O0000042020,15,3
O0000002496,19,4
O0000009292,1,4
O0000010753,10,5
O0000036651,7,4
O0000029332,10,3
O0000032722,5,2
O0000039087,2,5
O0000028865,9,1
O0000017622,2,3
O0000023127,22,5
O0000010502,2,2
O0000031532,12,2
O0000019044,15,2
O0000014443,13,1
O0000002814,21,2
O0000026974,4,4
O0000040884,12,2
O0000026385,7,4
O0000041586,21,2
O0000011729,12,5
O0000008107,15,4
O0000023749,21,2
O0000034396,15,3
O0000014978,4,1
O0000036539,22,4
O0000042691,12,1
O0000011220,20,1
O0000016428,16,2
O0000035650,24,3
O0000042946,12,5
O0000029728,4,4
O0000018404,3,1
O0000032186,24,5
O0000000286,15,4
O0000010632,19,2
O0000014678,8,4
O0000005738,23,2
O0000008784,8,4
O0000028635,20,3
O0000033912,14,5
O0000010433,15,5
O0000002515,10,5
O0000031111,9,4
O0000029984,12,1
O0000038551,5,1
O0000029125,18,1
O0000039185,19,5
O0000040934,2,4
O0000000714,10,4
O0000018234,23,1
O0000040713,16,4
O0000036893,8,4
O0000011084,16,2
O0000013880,10,4
O0000042196,11,2
O0000014664,1,4
O0000023425,8,2
O0000000142,10,2
O0000024421,19,2
O0000037234,8,2
O0000011704,17,1
O0000016839,23,5
O0000001160,2,4
O0000014261,14,5
O0000030995,10,3
O0000034738,6,3
O0000033751,14,2
O0000037853,23,5
O0000010749,16,3
O0000009293,10,5
O0000006638,16,3
O0000001434,10,2
O0000024518,3,1
O0000010910,17,5
O0000027714,19,1
O0000005948,4,5
O0000016889,5,1
O0000016249,11,1
O0000030031,8,1
O0000003384,7,1
O0000039712,20,5
O0000003175,12,5
O0000038537,8,4
O0000032011,15,5
O0000026039,11,3
O0000011309,15,2
O0000032317,19,4
O0000012347,20,3
O0000037809,21,5
O0000021560,16,5
O0000037949,15,1
O0000024625,9,5
O0000017823,16,1
O0000042073,5,5
O0000007618,9,1
O0000025554,17,4
O0000015477,19,5
O0000006067,16,5
O0000038313,15,2
O0000024203,9,1
O0000000019,13,2
O0000016216,19,3
O0000029412,22,5
O0000017860,4,4
O0000016202,16,3
O0000004663,7,5
O0000012927,23,5
O0000017601,19,5
O0000006461,24,5
O0000016347,4,2
O0000001505,4,4
O0000039898,20,2
O0000041547,4,1
O0000024016,18,5
O0000022600,2,4
O0000037335,10,1
O0000043153,20,5
O0000012437,22,4
O0000003212,23,2
O0000015058,4,4
O0000040891,12,5
O0000035785,19,5
O0000028962,18,1
O0000028270,5,1
O0000034017,4,4
O0000016141,2,5
O0000012490,5,2
O0000009631,4,2
O0000034639,15,4
O0000034617,12,5
O0000016399,17,1
O0000039557,23,4
O0000040869,7,3
O0000014723,4,2
O0000035524,9,2
O0000037104,10,2
O0000027008,10,4
O0000013355,19,3
O0000026066,3,3
O0000033579,2,2
O0000041553,20,2
O0000024959,18,3
O0000006946,12,4
O0000018674,12,1
O0000021762,7,1
O0000034236,20,4
O0000038286,20,2
O0000020995,13,4
O0000007272,19,5
O0000020527,3,1
O0000003823,19,3
O0000015577,16,4
O0000015638,1,2
O0000029432,16,4
O0000024177,2,3
O0000014388,1,2
O0000011149,8,1
O0000040282,19,2
O0000026023,7,5
O0000027347,4,1
O0000032874,23,1
O0000021684,13,5
O0000019723,2,3
O0000012490,15,5
O0000032863,2,5
O0000032346,9,4
O0000042531,13,5
O0000027191,23,4
O0000002622,12,4
O0000030034,1,4
O0000013837,5,3
O0000015166,14,3
O0000031122,3,5
O0000032984,20,3
O0000026494,5,4
O0000007711,3,2
O0000035409,18,4
O0000028265,11,2
O0000039473,7,1
O0000042579,8,4
O0000036610,7,2
O0000042083,9,2
O0000033385,2,5
O0000014139,8,2
O0000004999,5,3
O0000017266,14,3
O0000002926,19,4
O0000024060,1,1
O0000034410,15,2
O0000038299,9,4
O0000040268,21,2
O0000011991,2,3
O0000008909,3,4
O0000022907,22,2
O0000035461,16,3
O0000019119,17,3
O0000017857,7,1
O0000017959,13,2
O0000007049,1,4
O0000009114,12,1
O0000013291,14,4
O0000020209,23,1
O0000004614,5,3
O0000017153,11,3
O0000011466,22,4
O0000000116,6,5
O0000038213,19,1
O0000004313,3,3
O0000006615,21,3
O0000006003,7,3
O0000022608,22,3
O0000011551,5,3
O0000015625,16,1
O0000000303,23,4
O0000002602,1,3
O0000029277,12,3
O0000036501,6,3
O0000033375,23,2
O0000031488,24,3
O0000023742,22,1
O0000020981,9,2
O0000018725,13,5
O0000031919,1,3
O0000025360,17,2
O0000004946,16,4
O0000010931,23,1
O0000002003,22,2
O0000030437,10,3
O0000005556,7,4
O0000040465,9,2
O0000038197,24,4
O0000014970,19,1
O0000022054,17,1
O0000005519,11,2
O0000025877,18,1
O0000035948,8,2
O0000015424,6,4
O0000001549,17,2
O0000033736,20,4
O0000020659,14,2
O0000034953,11,4
O0000037158,7,3
O0000017532,21,4
O0000019073,13,2
O0000040659,21,3
O0000013951,8,4
O0000012601,13,2
O0000011609,12,1
O0000021730,17,5
O0000028074,20,1
O0000011688,15,1
O0000009209,2,1
O0000024444,16,4
O0000012494,3,3
O0000039903,7,3
O0000039767,4,5
O0000023244,15,5
O0000011594,23,5
O0000024259,13,5
O0000021216,2,4
O0000022336,8,1
O0000001774,16,1
O0000025442,2,2
O0000011982,11,1
O0000012492,3,2
O0000006089,7,1
O0000023707,9,3
O0000023461,11,2
O0000002711,6,1
O0000022112,10,2
O0000040673,20,2
O0000037762,4,2
O0000007109,13,2
O0000037562,4,4
O0000007370,20,1
O0000025574,7,1
O0000016643,4,5
O0000011762,12,3
O0000026403,12,2
O0000010039,20,5
O0000032903,21,1
O0000031382,13,4
O0000022465,12,3
O0000026106,5,2
O0000028792,22,2
O0000016079,23,2
O0000017270,12,5
O0000036982,1,4
O0000013828,8,4
O0000007783,21,2
O0000019362,3,1
O0000002494,11,5
O0000008489,4,5
O0000031547,6,4
O0000030188,3,4
O0000024967,15,3
O0000039638,1,3
O0000026878,6,5
O0000020101,18,3
O0000000125,19,4
O0000025652,17,2
O0000025919,10,3
O0000029167,22,5
O0000030763,9,3
O0000041514,2,1
O0000040780,20,2
O0000027184,3,3
O0000008786,22,5
O0000028456,13,3
O0000004610,22,3
O0000028197,6,3
O0000033580,24,4
O0000037592,6,5
O0000001055,5,4
O0000034133,2,3
O0000004964,2,1
O0000012656,23,3
O0000028503,14,1
O0000032089,19,3
O0000018427,22,1
O0000021364,21,4
O0000024054,13,3
O0000012902,12,3
O0000018855,16,4
O0000041705,22,2
O0000002655,6,2
O0000021170,16,4
O0000026560,10,4
O0000039737,15,4
O0000038571,2,1
O0000023207,14,4
O0000015676,10,4
O0000042672,13,2
O0000017488,21,1
O0000010277,20,2
O0000040931,8,2
O0000019728,7,5
O0000031345,3,4
O0000034422,2,3
O0000014777,2,1
O0000019154,4,3
O0000020718,24,3
O0000017927,20,2
O0000019251,20,4
O0000033740,16,4
O0000007164,22,1
O0000014524,13,2
O0000035692,8,3
O0000009649,7,1
O0000017823,18,2
O0000026072,21,2
O0000018757,15,4
O0000041581,8,5
O0000012134,23,2
O0000029775,16,1
O0000018315,23,1
O0000017561,16,4
O0000013845,16,4
O0000024912,23,4
O0000003336,2,2
O0000023909,13,2
O0000026870,21,2
O0000016802,9,1
O0000006749,4,1
O0000017379,17,5
O0000024693,22,5
O0000034353,24,3
O0000010107,13,3
O0000005871,15,1
O0000009324,18,1
O0000007126,11,4
O0000039606,15,3
O0000024225,10,4
O0000041656,13,1
O0000024883,13,5
O0000022747,6,2
O0000012015,10,4
O0000003520,19,3
O0000028542,9,4
O0000025480,5,4
O0000035427,6,5
O0000007556,6,3
O0000027680,14,4
O0000033490,24,4
O0000035345,20,2
O0000026785,5,2
O0000015871,14,4
O0000014085,13,2
O0000038956,3,3
O0000035139,15,1
O0000014590,10,3
O0000000626,4,2
O0000001976,22,5
O0000016152,20,1
O0000001368,4,4
O0000028783,18,3
O0000032076,15,2
O0000015534,20,1
O0000018005,2,1
O0000020271,24,3
O0000032882,19,2
O0000021116,2,5
O0000015516,4,4
O0000007966,8,1
O0000021673,3,1
O0000017684,23,2
O0000001806,19,3
O0000028001,5,5
O0000018291,6,3
O0000008912,21,2
O0000022108,13,5
O0000040746,10,3
O0000028216,14,2
O0000017666,2,2
O0000000849,2,1
O0000041734,22,5
O0000027432,7,5
O0000007899,9,5
O0000005443,15,4
O0000035016,12,1
O0000032666,3,5
O0000036995,18,1
O0000021875,6,3
O0000032447,11,5
O0000042013,8,1
O0000039184,14,4
O0000035344,17,1
O0000003959,5,5
O0000010285,11,1
O0000026748,13,2
O0000033889,16,1
O0000037620,8,2
O0000012195,12,3
O0000042302,23,2
O0000023498,4,1
O0000001141,19,4
O0000012413,13,2
O0000004355,6,2
O0000006091,19,5
O0000011014,18,4
O0000011684,23,3
O0000015961,8,3
O0000030441,5,1
O0000035533,14,3
O0000022654,14,1
O0000041574,6,2
O0000003370,13,4
O0000029621,3,5
O0000032655,24,1
O0000022014,20,5
O0000038615,8,4
O0000029853,4,3
O0000003677,23,1
O0000004977,24,3
O0000025510,11,5
O0000032995,19,4
O0000034648,1,3
O0000041057,13,4
O0000038842,23,2
O0000040206,1,4
O0000008975,6,3
O0000001845,18,5
O0000005003,17,1
O0000019872,15,1
O0000031879,23,2
O0000011107,18,5
O0000006356,7,5
O0000034886,10,5
O0000000215,17,3
O0000004001,14,2
O0000021611,17,3
O0000035749,9,2
O0000039559,5,2
O0000022577,1,1
O0000025214,17,4
O0000012556,11,1
O0000028221,3,3
O0000000949,22,1
O0000040593,23,3
O0000006195,14,2
O0000038097,1,3
O0000016242,15,3
O0000029473,4,5
O0000011889,23,2
O0000026355,14,4
O0000000319,10,1
O0000028458,7,2
O0000003294,20,3
O0000011007,17,4
O0000029592,4,3
O0000012020,11,2
O0000007318,3,4
O0000021490,18,5
O0000016709,4,3
O0000018317,10,2
O0000032318,14,3
O0000015938,22,3
O0000011912,11,1
O0000001642,21,5
O0000003880,12,2
O0000036944,5,2
O0000041665,4,3
O0000042998,8,3
O0000002105,10,2
O0000014848,18,5
O0000035202,19,5
O0000015302,22,4
O0000042218,14,4
O0000036916,19,5
O0000036385,21,5
O0000040995,1,5
O0000024882,10,1
O0000023673,24,3
O0000018884,10,1
O0000005633,22,2
O0000033086,6,5
O0000018774,5,5
O0000035750,10,4
O0000041066,24,3
O0000001398,20,4
O0000022268,17,5
O0000026374,4,2
O0000014270,19,3
O0000016653,12,2
O0000021981,5,4
O0000014263,20,5
O0000022552,9,1
O0000028068,16,3
O0000021593,20,4
O0000043214,9,5
O0000020371,4,1
O0000023124,2,5
O0000007087,24,1
O0000021319,14,5
O0000036931,7,2
O0000040433,8,4
O0000041335,20,3
O0000008980,7,3
O0000034788,10,5
O0000005119,11,4
O0000000420,6,4
O0000019560,12,1
O0000022940,10,5
O0000022447,5,4
O0000000748,6,3
O0000038966,18,3
O0000007068,19,5
O0000021654,9,2
O0000002015,8,4
O0000028319,11,2
O0000006692,3,5
O0000015001,8,1
O0000008149,20,1
O0000029839,7,3
O0000031737,18,2
O0000010667,23,3
O0000005804,15,5
O0000032489,18,2
O0000032130,6,4
O0000039518,18,5
O0000009933,11,5
O0000033579,6,1
O0000029679,8,3
O0000041167,9,1
O0000036676,2,3
O0000012836,5,3
O0000018450,17,4
O0000005238,5,3
O0000018245,24,3
O0000022601,11,1
O0000042711,3,5
O0000041059,1,2
O0000030730,7,2
O0000016701,7,1
O0000038760,9,2
O0000027226,8,1
O0000033611,5,3
O0000016927,21,1
O0000011313,14,4
O0000019923,2,2
O0000041584,3,4
O0000030550,8,1
O0000037730,3,5
O0000024419,8,4
O0000024421,10,3
O0000040476,2,3
O0000026825,4,3
O0000033132,19,2
O0000002464,17,2
O0000000883,21,4
O0000036207,21,1
O0000000096,12,2
O0000016170,11,1
O0000014714,16,3
O0000024800,21,4
O0000027072,4,3
O0000015520,3,1
O0000037353,15,4
O0000023495,9,3
O0000035081,8,3
O0000043198,16,1
O0000014886,2,1
O0000032275,10,5
O0000018451,23,1
O0000032468,2,2
O0000037199,5,4
O0000040629,24,4
O0000033018,7,5
O0000040957,23,5
O0000005615,13,2
O0000042941,11,1
O0000019749,12,5
O0000040690,20,4
O0000031697,12,4
O0000007740,4,3
O0000035850,3,5
O0000039626,13,4
O0000014655,3,1
O0000025219,7,5
O0000022440,15,4
O0000039131,2,1
O0000041966,3,5
O0000038777,10,3
O0000021321,9,4
O0000022774,20,5
O0000013821,12,4
O0000027044,10,1
O0000027430,1,4
O0000008657,12,3
O0000021112,7,1
O0000042965,22,5
O0000034698,14,1
O0000023564,12,2
O0000022833,3,1
O0000003187,17,3
O0000036264,24,3
O0000001073,11,2
O0000015539,4,3
O0000026084,1,3
O0000042433,11,1
O0000013046,15,1
O0000016763,12,1
O0000025539,19,3
O0000036645,3,3
O0000038004,19,5
O0000039062,4,4
O0000031140,12,2
O0000012468,19,5
O0000038352,13,4
O0000035266,8,1
O0000009642,7,1
O0000037786,23,4
O0000027439,9,3
O0000001964,10,4
O0000032035,2,2
O0000010111,16,3
O0000002716,17,3
O0000018138,1,2
O0000036107,12,3
O0000030654,21,1
O0000014402,14,5
O0000017559,9,2
O0000003574,16,4
O0000033022,12,5
O0000005749,15,5
O0000027963,11,3
O0000035103,8,2
O0000040944,17,1
O0000025872,13,1
O0000034057,4,2
O0000011088,18,1
O0000020746,20,2
O0000041218,7,4
O0000036692,21,1
O0000015195,2,4
O0000019224,1,1
O0000023908,19,4
O0000024020,9,4
O0000007483,3,2
O0000039958,15,3
O0000001359,8,2
O0000003948,19,1
O0000025639,10,4
O0000024249,24,1
O0000027333,5,5
O0000035474,6,3
O0000041576,23,4
O0000032892,9,5
O0000024889,16,2
O0000003937,5,5
O0000020880,3,1
O0000015500,15,1
O0000039609,7,1
O0000036529,14,4
O0000035980,9,1
O0000032488,20,4
O0000029906,7,2
O0000009465,14,4
O0000004864,23,3
O0000038882,1,3
O0000033957,1,3
O0000040630,12,1
O0000009882,16,1
O0000001763,9,2
O0000026666,16,3
O0000010811,3,5
O0000004899,20,3
O0000029583,15,4
O0000043192,24,3
O0000002759,12,3
O0000027010,24,2
O0000001833,14,5
O0000009422,2,3
O0000039153,22,1
O0000029685,21,3
O0000039523,3,5
O0000022959,24,5
O0000016203,6,2
O0000004611,1,5
O0000018163,12,1
O0000032249,13,4
O0000007895,2,2
O0000011994,17,4
O0000009794,15,5
O0000009504,19,4
O0000041375,16,3
O0000006562,21,3
O0000030964,13,4
O0000012950,22,3
O0000008010,23,5
O0000011776,20,4
O0000001295,21,5
O0000002309,8,1
O0000032066,17,5
O0000015061,13,1
O0000032404,14,5
O0000039071,12,2
O0000009791,2,2
O0000025749,20,2
O0000005313,4,4
O0000005781,13,3
O0000007173,23,1
O0000034154,22,3
O0000007757,24,3
O0000041170,3,2
O0000000451,12,4
O0000039820,4,5
O0000020054,20,2
O0000029481,3,4
O0000017608,7,1
O0000024549,6,2
O0000033097,15,3
O0000010260,20,3
O0000029712,4,1
O0000020615,15,1
O0000030570,17,5
O0000017211,1,1
O0000005521,13,3
O0000003169,10,1
O0000012561,4,1
O0000002840,5,5
O0000029015,19,5
O0000015389,14,5
O0000001428,13,4
O0000023586,8,2
O0000019419,3,3
O0000015854,18,5
O0000007725,23,2
O0000004320,18,5
O0000011836,5,4
O0000015615,11,2
O0000016082,1,3
O0000032697,23,2
O0000036649,3,1
O0000021357,8,2
O0000020208,12,1
O0000039825,3,3
O0000026288,9,1
O0000030372,8,1
O0000010510,3,2
O0000010986,11,4
O0000021724,16,1
O0000033687,6,2
O0000024841,2,2
O0000015548,23,4
O0000042401,9,1
O0000001643,8,5
O0000006870,24,5
O0000024675,19,1
O0000008467,12,4
O0000030700,22,2
O0000029996,18,4
O0000031066,9,3
O0000003171,20,5
O0000007467,12,2
