order_id,customer_id,branch_id,rating,payment_method,date,time
O0000000063,C0000000842,B072,2,Credit Card,2024-09-01,12:07:29.527886
O0000000064,C0000001849,B060,1,Credit Card,2024-01-17,10:30:54.964483
O0000000065,C0000000950,B102,4,Cash,2024-01-07,14:13:55.298204
O0000000066,C0000000114,B038,5,Cash,2023-10-09,09:34:26.763582
O0000000067,C0000001264,B168,1,Mobile Payment,2024-01-13,21:48:47.045177
O0000000068,C0000000836,B077,4,Cash,2023-09-01,09:37:25.067212
O0000000069,C0000000463,B157,3,Credit Card,2023-12-31,8:37:26.187880
O0000000070,C0000001876,B094,2,Mobile Payment,2023-07-03,14:18:53.893768
O0000000071,C0000000182,B204,1,Cash,2023-04-30,18:22:54.586398
O0000000072,C0000001889,B220,2,Cash,2023-04-29,9:59:9.795487
O0000000073,C0000001185,B190,1,Credit Card,2024-01-23,12:01:30.066801
O0000000074,C0000000279,B220,5,Cash,2024-02-20,14:05:01.014205
O0000000075,C0000000822,B127,2,Cash,2023-10-29,08:17:05.240010
O0000000076,C0000002286,B174,4,Mobile Payment,2023-02-26,19:15:33.892117
O0000000077,C0000001937,B042,2,Credit Card,2024-04-24,14:06:47.757292
O0000000078,C0000002150,B117,1,Cash,2024-07-08,10:41:45.380955
O0000000079,C0000001312,B188,2,Credit Card,2024-08-06,20:06:11.338400
O0000000080,C0000002321,B197,5,Cash,2024-06-16,17:58:21.739091
O0000000081,C0000001866,B159,2,Mobile Payment,2024-07-21,13:31:27.526150
O0000000082,C0000002005,B174,4,Credit Card,2024-08-06,17:34:18.033702
O0000000083,C0000000646,B065,3,Mobile Payment,2023-12-08,20:39:19.721187
O0000000084,C0000001206,B217,4,Mobile Payment,2023-09-05,10:40:43.470557
O0000000085,C0000000008,B168,4,Credit Card,2024-03-22,18:02:51.233696
O0000000086,C0000001933,B075,4,Mobile Payment,2023-06-24,07:17:02.313033
O0000000087,C0000002271,B094,4,Mobile Payment,2024-05-28,15:02:40.181631
O0000000088,C0000000287,B167,3,Credit Card,2024-06-21,14:36:07.228345
O0000000089,C0000001715,B119,3,Cash,2024-07-19,20:57:26.748408
O0000000090,C0000000593,B200,4,Cash,2024-01-08,10:22:49.033996
O0000000091,C0000000264,B066,5,Credit Card,2024-08-23,14:31:46.228078
O0000000092,C0000000555,B171,5,Cash,2024-01-02,13:59:58.041193
O0000000093,C0000000333,B046,1,Mobile Payment,2023-10-12,21:10:17.808696
O0000000094,C0000002204,B117,5,Cash,2024-02-22,12:30:28.732527
O0000000095,C0000001139,B047,1,Mobile Payment,2024-09-22,21:09:02.557535
O0000000096,C0000001781,B091,3,Cash,2024-08-02,20:22:00.075819
O0000000097,C0000000196,B180,1,Credit Card,2024-05-16,16:15:05.001598
O0000000098,C0000001019,B109,1,Credit Card,2023-02-22,15:10:13.203219
O0000000099,C0000001538,B121,5,Credit Card,2024-01-23,12:10:32.348459
O0000000100,C0000000480,B069,1,Credit Card,2023-11-04,14:44:13.322322
O0000000101,C0000001943,B156,1,Credit Card,2024-02-03,11:42:42.128504
O0000000102,C0000000078,B065,2,Cash,2024-06-18,09:41:46.037197
O0000000103,C0000000650,B229,2,Credit Card,2023-06-03,16:32:18.011700
O0000000104,C0000000897,B233,5,Mobile Payment,2024-04-07,13:46:18.750817
O0000000105,C0000000074,B016,4,Cash,2023-03-16,15:44:26.729437
O0000000106,C0000001360,B039,1,Credit Card,2023-05-20,09:55:03.014229
O0000000107,C0000000197,B230,1,Mobile Payment,2024-05-17,11:20:32.209100
O0000000108,C0000000936,B222,4,Cash,2023-07-30,13:52:58.582523
O0000000109,C0000000040,B127,3,Credit Card,2024-05-30,20:04:06.303049
O0000000110,C0000002276,B039,1,Cash,2023-03-05,14:54:53.383869
O0000000111,C0000001305,B162,5,Mobile Payment,2023-04-03,13:16:29.197777
O0000000112,C0000000822,B217,5,Mobile Payment,2024-03-17,18:30:32.861141
O0000000113,C0000000866,B144,5,Cash,2023-01-29,14:30:53.901676
O0000000114,C0000002145,B064,2,Credit Card,2023-12-29,9:32:00.373648
O0000000115,C0000001449,B018,1,Cash,2024-07-29,11:15:47.725159
O0000000116,C0000001698,B225,4,Mobile Payment,2023-12-04,19:29:35.994455
O0000000117,C0000001042,B136,2,Credit Card,2024-03-06,09:15:50.477571
O0000000118,C0000001524,B102,1,Credit Card,2023-01-17,20:10:32.850049
O0000000119,C0000000202,B105,5,Credit Card,2024-02-06,13:21:31.982832
O0000000120,C0000002317,B070,5,Mobile Payment,2024-01-19,10:21:53.949852
O0000000121,C0000001292,B061,1,Credit Card,2023-12-31,12:12:22.949458
O0000000122,C0000000136,B006,2,Cash,2023-09-05,09:21:49.670799
O0000000123,C0000000459,B162,1,Cash,2023-08-23,10:35:37.030514
O0000000124,C0000001049,B120,1,Credit Card,2024-09-12,12:14:51.182965
O0000000125,C0000001734,B060,3,Cash,2023-01-24,16:19:11.868155
O0000000126,C0000000454,B229,2,Mobile Payment,2023-01-14,16:22:34.053859
O0000000127,C0000000484,B095,3,Cash,2024-08-30,17:31:08.941545
O0000000128,C0000001498,B014,1,Cash,2023-04-27,9:18:32.517048
O0000000129,C0000001194,B205,3,Cash,2023-03-20,08:21:00.470343
O0000000130,C0000000030,B036,4,Cash,2023-05-14,21:54:29.402406
O0000000131,C0000000904,B053,1,Cash,2024-05-21,08:53:13.859421
O0000000132,C0000001423,B137,1,Credit Card,2024-08-15,12:19:46.731771
O0000000133,C0000000721,B164,5,Credit Card,2023-01-15,09:46:11.655156
O0000000134,C0000002267,B023,3,Mobile Payment,2023-09-27,13:35:37.399028
O0000000135,C0000002052,B195,4,Credit Card,2023-03-06,16:27:47.791647
O0000000136,C0000001464,B056,4,Mobile Payment,2023-06-14,08:47:23.798371
O0000000137,C0000002314,B052,4,Mobile Payment,2023-05-20,15:30:49.559397
O0000000138,C0000000418,B114,2,Cash,2024-02-14,8:21:22.495420
O0000000139,C0000001283,B088,5,Mobile Payment,2023-08-10,12:23:32.547526
O0000000140,C0000000101,B209,4,Mobile Payment,2023-04-25,21:40:29.726831
O0000000141,C0000000438,B081,4,Cash,2023-11-15,11:39:49.246062
O0000000142,C0000001532,B062,2,Cash,2023-01-25,14:38:54.537122
O0000000143,C0000001537,B100,5,Cash,2023-03-05,19:40:34.157605
O0000000144,C0000000776,B203,2,Credit Card,2024-09-16,11:23:26.785457
O0000000145,C0000001543,B215,2,Credit Card,2023-05-07,8:36:42.921816
O0000000146,C0000000792,B013,3,Cash,2023-08-15,17:46:27.073428
O0000000147,C0000000259,B232,1,Mobile Payment,2024-04-07,15:25:38.852030
O0000000148,C0000002247,B159,1,Cash,2024-06-14,9:14:11.057452
O0000000149,C0000000626,B043,3,Cash,2024-08-03,19:45:07.176685
O0000000150,C0000001701,B087,3,Cash,2023-04-18,20:20:52.711621
O0000000151,C0000001320,B110,2,Cash,2024-03-01,08:37:44.489862
O0000000152,C0000000566,B170,4,Credit Card,2024-09-03,13:15:35.315217
O0000000153,C0000001677,B139,3,Cash,2023-02-06,17:02:09.592001
O0000000154,C0000000500,B008,2,Mobile Payment,2024-03-03,14:40:38.917371
O0000000155,C0000001464,B084,2,Credit Card,2024-06-18,14:57:46.062349
O0000000156,C0000001186,B093,5,Credit Card,2023-08-05,11:15:31.333848
O0000000157,C0000000385,B179,4,Mobile Payment,2023-06-08,12:40:04.908583
O0000000158,C0000002256,B224,5,Credit Card,2024-01-13,09:28:13.155362
O0000000159,C0000000068,B117,4,Credit Card,2023-10-07,16:58:33.186159
O0000000160,C0000000973,B020,2,Credit Card,2023-04-21,13:13:32.696432
O0000000161,C0000000811,B092,3,Credit Card,2023-10-26,21:49:59.219492
O0000000162,C0000001217,B178,3,Mobile Payment,2023-09-17,8:06:42.332258
O0000000163,C0000000040,B087,5,Credit Card,2023-12-26,9:23:34.456726
O0000000164,C0000001412,B043,4,Credit Card,2023-11-18,14:59:46.832032
O0000000165,C0000001776,B141,2,Mobile Payment,2023-07-16,17:47:56.090986
O0000000166,C0000001867,B122,5,Mobile Payment,2023-08-14,20:28:17.553139
O0000000167,C0000001287,B004,3,Credit Card,2024-06-13,17:08:16.096982
O0000000168,C0000000338,B120,4,Mobile Payment,2023-06-08,16:23:28.760685
O0000000169,C0000000029,B064,5,Credit Card,2023-12-21,12:11:55.839301
O0000000170,C0000000446,B097,1,Cash,2023-01-08,20:44:43.189186
O0000000171,C0000000522,B218,4,Mobile Payment,2024-04-13,21:50:01.483310
O0000000172,C0000002324,B078,5,Cash,2023-08-01,10:11:13.794516
O0000000173,C0000000023,B223,5,Credit Card,2023-01-29,15:31:59.456187
O0000000174,C0000000889,B043,5,Credit Card,2023-06-27,14:56:54.286047
O0000000175,C0000001893,B046,4,Credit Card,2023-06-01,20:26:45.812800
O0000000176,C0000000046,B130,1,Mobile Payment,2024-08-25,17:35:30.599560
O0000000177,C0000001928,B226,4,Cash,2023-08-11,17:42:29.061199
O0000000178,C0000001098,B215,4,Cash,2023-07-02,11:06:26.497643
O0000000179,C0000002229,B168,1,Credit Card,2023-08-16,21:34:36.891957
O0000000180,C0000000167,B115,4,Cash,2024-08-21,19:08:16.983558
O0000000181,C0000001095,B109,2,Credit Card,2024-02-05,18:21:23.304586
O0000000182,C0000000129,B188,3,Cash,2024-01-28,18:02:57.477298
O0000000183,C0000001991,B061,5,Mobile Payment,2024-03-28,12:54:56.589279
O0000000184,C0000000095,B137,2,Mobile Payment,2023-09-03,08:54:58.849821
O0000000185,C0000001372,B225,2,Mobile Payment,2023-09-20,7:35:56.868758
O0000000186,C0000000640,B202,3,Mobile Payment,2024-02-16,13:39:17.047981
O0000000187,C0000002200,B180,2,Cash,2023-01-01,16:07:58.914158
O0000000188,C0000000434,B180,3,Cash,2023-05-02,14:40:16.981914
O0000000189,C0000000889,B017,5,Cash,2023-07-31,11:11:46.175932
O0000000190,C0000001625,B039,4,Mobile Payment,2023-06-01,09:36:10.534928
O0000000191,C0000002007,B227,1,Cash,2024-02-08,18:46:32.991700
O0000000192,C0000001730,B092,3,Cash,2023-08-28,10:43:15.754187
O0000000193,C0000001457,B210,4,Mobile Payment,2024-07-07,14:15:10.479294
O0000000194,C0000001070,B002,2,Cash,2023-12-26,20:48:10.888724
O0000000195,C0000001504,B055,1,Cash,2023-09-20,7:25:23.538823
O0000000196,C0000000052,B097,4,Credit Card,2023-09-12,09:11:07.390082
O0000000197,C0000001742,B064,4,Cash,2024-03-19,19:37:47.268353
O0000000198,C0000000476,B005,2,Mobile Payment,2023-09-22,11:24:05.446920
O0000000199,C0000001221,B020,2,Cash,2024-02-23,18:06:38.772450
O0000000200,C0000000351,B053,2,Credit Card,2023-01-30,13:58:21.841961
O0000000201,C0000001780,B164,3,Cash,2023-10-09,15:05:08.925724
O0000000202,C0000000641,B062,5,Cash,2023-06-13,17:16:17.194067
O0000000203,C0000000029,B193,2,Cash,2023-04-10,17:12:01.714106
O0000000204,C0000000272,B001,3,Cash,2023-11-30,14:56:54.695687
O0000000205,C0000001097,B051,5,Mobile Payment,2023-11-05,12:12:12.107405
O0000000206,C0000000575,B161,3,Cash,2023-12-22,7:24:42.605010
O0000000207,C0000000557,B048,3,Cash,2024-04-22,17:57:03.495167
O0000000208,C0000001212,B090,4,Cash,2024-07-12,17:31:29.454312
O0000000209,C0000001699,B046,5,Cash,2023-11-09,18:15:14.845042
O0000000210,C0000000858,B068,4,Mobile Payment,2023-07-17,08:05:27.345654
O0000000211,C0000001792,B126,1,Cash,2023-10-23,17:59:52.463633
O0000000212,C0000002013,B088,1,Cash,2024-05-26,14:50:40.935736
O0000000213,C0000002026,B094,4,Credit Card,2024-07-07,08:04:29.928137
O0000000214,C0000000383,B213,5,Cash,2024-05-28,17:58:37.096803
O0000000215,C0000001211,B160,4,Cash,2023-04-29,17:17:07.267059
O0000000216,C0000001865,B029,3,Mobile Payment,2024-09-24,12:08:53.177822
O0000000217,C0000001831,B166,4,Mobile Payment,2024-02-05,08:21:12.474922
O0000000218,C0000000135,B102,5,Cash,2023-02-22,18:46:29.470852
O0000000219,C0000000027,B091,1,Mobile Payment,2024-04-03,19:41:55.496003
O0000000220,C0000001927,B130,5,Cash,2024-09-16,10:56:08.174432
O0000000221,C0000000903,B176,1,Cash,2023-09-12,17:21:06.920677
O0000000222,C0000002109,B205,5,Credit Card,2024-03-05,17:47:06.376951
O0000000223,C0000002205,B225,2,Mobile Payment,2023-07-19,11:36:11.194894
O0000000224,C0000000471,B130,4,Credit Card,2023-05-16,10:39:07.601803
O0000000225,C0000002250,B014,3,Cash,2024-03-29,14:47:21.370058
O0000000226,C0000001392,B014,4,Mobile Payment,2023-01-02,11:46:50.270644
O0000000227,C0000000612,B131,5,Credit Card,2024-06-04,13:32:58.545399
O0000000228,C0000001666,B065,4,Cash,2023-12-01,12:40:40.722726
O0000000229,C0000002181,B173,2,Cash,2023-03-03,20:04:03.376316
O0000000230,C0000000665,B064,2,Cash,2023-03-17,10:35:52.456066
O0000000231,C0000000995,B063,3,Cash,2024-02-15,13:51:56.967847
O0000000232,C0000000772,B147,3,Credit Card,2024-07-06,11:23:46.597404
O0000000233,C0000000258,B202,4,Credit Card,2023-06-27,7:16:57.987098
O0000000234,C0000000842,B213,5,Mobile Payment,2024-09-10,18:52:17.195284
O0000000235,C0000000855,B214,4,Credit Card,2023-03-05,08:26:12.608916
O0000000236,C0000001992,B177,3,Mobile Payment,2024-06-24,11:10:19.055884
O0000000237,C0000000326,B233,1,Mobile Payment,2023-09-08,20:38:10.230917
O0000000238,C0000001261,B056,1,Credit Card,2023-02-21,10:34:29.780002
O0000000239,C0000001431,B023,4,Cash,2023-06-23,17:19:01.087040
O0000000240,C0000001278,B127,4,Cash,2023-10-14,10:49:30.442831
O0000000241,C0000000912,B174,5,Cash,2024-05-16,12:19:26.616415
O0000000242,C0000002176,B156,1,Mobile Payment,2024-06-28,16:48:43.639107
O0000000243,C0000001330,B101,3,Credit Card,2023-03-26,08:54:59.220226
O0000000244,C0000002192,B199,2,Mobile Payment,2023-11-26,09:08:51.438563
O0000000245,C0000001946,B157,5,Cash,2024-02-16,12:54:05.735137
O0000000246,C0000002158,B090,3,Mobile Payment,2023-08-08,11:12:16.599838
O0000000247,C0000000612,B175,2,Credit Card,2024-07-05,08:13:47.007311
O0000000248,C0000000629,B024,3,Credit Card,2023-06-26,19:24:37.909206
O0000000249,C0000000901,B168,5,Cash,2023-01-12,17:54:05.589832
O0000000250,C0000001596,B144,3,Mobile Payment,2023-01-26,17:08:39.405785
O0000000251,C0000000433,B179,5,Mobile Payment,2024-03-06,15:27:02.571558
O0000000252,C0000001926,B007,2,Mobile Payment,2023-12-20,17:08:04.178217
O0000000253,C0000001683,B006,4,Mobile Payment,2024-08-21,13:01:02.891694
O0000000254,C0000001742,B151,5,Mobile Payment,2024-08-16,10:38:03.516433
O0000000255,C0000001000,B027,1,Cash,2024-07-29,08:45:41.509436
O0000000256,C0000001701,B137,3,Mobile Payment,2023-01-27,13:30:01.739113
O0000000257,C0000000879,B127,4,Credit Card,2024-04-18,17:34:41.593011
O0000000258,C0000001175,B134,5,Cash,2024-03-19,11:58:06.162905
O0000000259,C0000001492,B026,1,Cash,2024-02-19,10:23:28.166319
O0000000260,C0000001423,B118,2,Mobile Payment,2024-03-26,11:24:47.197603
O0000000261,C0000001122,B014,1,Cash,2024-07-24,20:22:57.207519
O0000000262,C0000000742,B204,4,Mobile Payment,2024-02-09,19:23:16.653526
O0000000263,C0000001235,B163,5,Credit Card,2023-08-24,12:38:31.498363
O0000000264,C0000000656,B152,1,Mobile Payment,2023-12-07,17:06:56.570542
O0000000265,C0000000987,B129,2,Cash,2023-05-12,10:26:18.916888
O0000000266,C0000000156,B031,5,Cash,2024-01-07,16:46:17.961405
O0000000267,C0000001376,B110,3,Credit Card,2023-01-06,15:01:49.898607
O0000000268,C0000000462,B215,4,Mobile Payment,2023-04-06,12:04:13.603476
O0000000269,C0000001989,B185,5,Mobile Payment,2023-07-30,20:07:15.097013
O0000000270,C0000002103,B228,1,Mobile Payment,2024-05-14,08:04:02.903097
O0000000271,C0000001916,B078,1,Cash,2024-03-30,08:37:35.117467
O0000000272,C0000002206,B123,1,Mobile Payment,2023-08-02,9:41:32.449116
O0000000273,C0000002297,B185,3,Credit Card,2024-01-28,09:52:22.485706
O0000000274,C0000001522,B011,5,Credit Card,2023-01-27,18:20:05.675780
O0000000275,C0000001273,B170,2,Cash,2023-04-14,14:54:09.125658
O0000000276,C0000001957,B058,4,Cash,2024-09-12,17:27:21.995178
O0000000277,C0000002204,B210,1,Cash,2023-07-03,8:11:38.118695
O0000000278,C0000001388,B146,4,Credit Card,2023-09-07,15:44:10.758907
O0000000279,C0000001873,B107,5,Mobile Payment,2023-12-13,20:18:58.157285
O0000000280,C0000001296,B111,4,Cash,2023-07-05,13:01:19.218846
O0000000281,C0000000781,B041,4,Credit Card,2023-10-30,07:33:40.762598
O0000000282,C0000000787,B011,4,Credit Card,2023-06-01,14:00:22.010882
O0000000283,C0000000654,B027,2,Mobile Payment,2023-01-31,12:23:03.011115
O0000000284,C0000000868,B175,1,Mobile Payment,2023-04-24,13:34:47.209844
O0000000285,C0000000498,B218,4,Credit Card,2023-11-27,18:18:17.078549
O0000000286,C0000002165,B232,1,Credit Card,2023-02-14,19:28:55.610852
O0000000287,C0000001548,B042,1,Cash,2023-09-12,20:52:33.863828
O0000000288,C0000001374,B132,2,Mobile Payment,2023-07-27,17:56:27.018678
O0000000289,C0000001873,B016,1,Credit Card,2023-09-20,11:12:25.793538
O0000000290,C0000000816,B135,1,Credit Card,2023-03-04,20:35:36.578549
O0000000291,C0000002302,B184,1,Mobile Payment,2024-07-28,14:38:45.525550
O0000000292,C0000000325,B003,2,Cash,2023-10-27,17:56:33.546202
O0000000293,C0000001876,B149,5,Credit Card,2024-06-15,17:30:32.872323
O0000000294,C0000001267,B169,3,Mobile Payment,2024-09-09,08:10:51.806260
O0000000295,C0000002313,B157,2,Cash,2023-08-06,07:34:53.153634
O0000000296,C0000001140,B196,2,Mobile Payment,2023-10-30,9:04:11.584167
O0000000297,C0000002029,B043,3,Mobile Payment,2024-03-18,09:43:10.021382
O0000000298,C0000000819,B062,2,Mobile Payment,2023-09-27,17:30:11.752081
O0000000299,C0000001613,B122,4,Credit Card,2023-07-10,13:58:01.466586
O0000000300,C0000000746,B156,1,Cash,2024-04-09,15:16:32.111465
O0000000301,C0000000404,B211,1,Cash,2024-07-19,14:15:23.365509
O0000000302,C0000000139,B039,2,Cash,2024-08-04,14:04:02.152277
O0000000303,C0000000314,B171,2,Credit Card,2024-02-01,08:01:47.091613
O0000000304,C0000001843,B097,4,Mobile Payment,2023-08-26,12:01:32.776067
O0000000305,C0000001939,B054,3,Mobile Payment,2024-09-08,19:51:19.135768
O0000000306,C0000000307,B183,3,Cash,2024-02-09,17:13:27.477309
O0000000307,C0000001751,B085,5,Credit Card,2023-02-11,15:10:09.459904
O0000000308,C0000000132,B218,1,Mobile Payment,2023-02-23,13:01:31.502024
O0000000309,C0000001928,B113,2,Mobile Payment,2024-04-19,12:43:46.123121
O0000000310,C0000001834,B129,1,Cash,2023-02-08,16:09:49.108670
O0000000311,C0000001007,B011,2,Cash,2023-01-05,16:09:15.401837
O0000000312,C0000002075,B071,1,Cash,2023-09-07,12:48:06.242921
O0000000313,C0000001503,B178,2,Credit Card,2023-11-25,9:53:28.282066
O0000000314,C0000000774,B081,1,Mobile Payment,2023-10-11,15:31:55.477772
O0000000315,C0000000432,B013,1,Credit Card,2023-11-05,13:44:27.083343
O0000000316,C0000001452,B154,1,Mobile Payment,2024-01-05,20:49:25.765473
O0000000317,C0000001604,B070,2,Credit Card,2024-03-05,13:44:16.411418
O0000000318,C0000001796,B116,4,Credit Card,2023-09-25,12:25:32.491339
O0000000319,C0000000384,B198,5,Mobile Payment,2023-08-21,21:08:46.884738
O0000000320,C0000000745,B178,1,Cash,2024-09-17,11:47:20.522748
O0000000321,C0000000755,B019,3,Mobile Payment,2023-06-14,13:54:57.529927
O0000000322,C0000001775,B232,3,Credit Card,2024-05-06,10:00:23.473182
O0000000323,C0000000546,B028,2,Mobile Payment,2023-09-30,16:37:04.416484
O0000000324,C0000000863,B080,3,Credit Card,2023-08-15,17:14:39.187416
O0000000325,C0000000439,B209,2,Mobile Payment,2023-02-10,09:10:06.948018
O0000000326,C0000002045,B227,3,Mobile Payment,2024-06-30,15:29:25.370568
O0000000327,C0000000552,B022,1,Credit Card,2024-03-19,15:16:42.836555
O0000000328,C0000002069,B064,2,Credit Card,2024-07-25,7:56:38.736946
O0000000329,C0000001855,B051,4,Mobile Payment,2023-10-13,14:05:14.871868
O0000000330,C0000002031,B027,3,Cash,2024-03-04,8:35:32.894722
O0000000331,C0000002231,B046,1,Cash,2023-03-17,13:41:41.683174
O0000000332,C0000002340,B157,2,Mobile Payment,2023-09-09,15:43:12.124606
O0000000333,C0000000538,B179,4,Cash,2023-05-12,19:08:53.953285
O0000000334,C0000002174,B140,2,Mobile Payment,2023-01-27,14:58:15.841966
O0000000335,C0000000837,B092,2,Mobile Payment,2024-08-22,11:09:27.192476
O0000000336,C0000002047,B209,1,Cash,2023-05-17,12:37:01.257525
O0000000337,C0000001901,B011,5,Cash,2023-04-03,13:12:50.698704
O0000000338,C0000000825,B081,2,Credit Card,2023-05-06,20:34:49.863786
O0000000339,C0000001333,B212,4,Credit Card,2023-08-28,16:22:13.568336
O0000000340,C0000002281,B202,5,Cash,2023-12-12,12:33:01.038285
O0000000341,C0000001259,B147,5,Credit Card,2023-04-06,16:47:36.344256
O0000000342,C0000000923,B171,1,Cash,2024-09-17,13:17:32.431384
O0000000343,C0000000473,B179,2,Cash,2024-09-13,14:46:24.445530
O0000000344,C0000001189,B152,3,Cash,2023-04-04,20:17:21.452735
O0000000345,C0000000030,B181,5,Cash,2023-09-14,16:25:35.593368
O0000000346,C0000001107,B171,1,Credit Card,2024-03-05,12:15:09.208470
O0000000347,C0000000103,B231,4,Credit Card,2024-07-09,7:08:45.352937
O0000000348,C0000000612,B022,1,Cash,2023-11-10,17:44:55.005590
O0000000349,C0000001274,B187,1,Credit Card,2024-08-02,11:58:01.810718
O0000000350,C0000000329,B058,5,Mobile Payment,2023-07-23,16:57:45.191551
O0000000351,C0000000142,B202,3,Cash,2023-11-12,9:48:36.483703
O0000000352,C0000001899,B007,5,Mobile Payment,2023-11-12,07:55:55.335668
O0000000353,C0000001997,B187,4,Cash,2024-02-28,17:35:15.593618
O0000000354,C0000000107,B062,3,Cash,2023-05-08,17:36:39.744850
O0000000355,C0000001317,B044,4,Credit Card,2024-01-21,14:27:18.670653
O0000000356,C0000001619,B014,1,Cash,2023-05-19,08:18:26.350123
O0000000357,C0000002228,B055,3,Credit Card,2023-08-04,17:30:18.374104
O0000000358,C0000000050,B185,4,Cash,2024-08-31,16:49:06.740546
O0000000359,C0000001016,B005,1,Mobile Payment,2024-07-22,12:11:44.870924
